date,price
01-01-50,34.73
01-02-50,34.73
01-03-50,34.73
01-04-50,34.73
01-05-50,34.73
01-06-50,34.73
01-07-50,34.73
01-08-50,34.73
01-09-50,34.73
01-10-50,34.73
01-11-50,34.73
01-12-50,34.72
01-01-51,34.72
01-02-51,34.73
01-03-51,34.73
01-04-51,34.73
01-05-51,34.73
01-06-51,34.73
01-07-51,34.72
01-08-51,34.71
01-09-51,34.71
01-10-51,34.71
01-11-51,34.73
01-12-51,34.66
01-01-52,34.49
01-02-52,34.49
01-03-52,34.68
01-04-52,34.82
01-05-52,34.73
01-06-52,34.53
01-07-52,34.57
01-08-52,34.58
01-09-52,34.51
01-10-52,34.63
01-11-52,34.72
01-12-52,34.79
01-01-53,34.88
01-02-53,34.95
01-03-53,34.92
01-04-53,34.93
01-05-53,34.9
01-06-53,34.89
01-07-53,34.91
01-08-53,34.91
01-09-53,34.76
01-10-53,34.79
01-11-53,34.86
01-12-53,34.85
01-01-54,34.86
01-02-54,34.88
01-03-54,34.92
01-04-54,35.04
01-05-54,35.08
01-06-54,35.07
01-07-54,35.08
01-08-54,35.05
01-09-54,35.08
01-10-54,35.08
01-11-54,35.06
01-12-54,35.04
01-01-55,35.04
01-02-55,35.05
01-03-55,35.06
01-04-55,35.05
01-05-55,35.05
01-06-55,35.04
01-07-55,35.05
01-08-55,35.03
01-09-55,34.98
01-10-55,34.98
01-11-55,34.98
01-12-55,34.97
01-01-56,34.99
01-02-56,34.99
01-03-56,34.99
01-04-56,34.98
01-05-56,34.99
01-06-56,34.98
01-07-56,35
01-08-56,35.02
01-09-56,35.01
01-10-56,35.02
01-11-56,34.98
01-12-56,34.9
01-01-57,34.88
01-02-57,34.89
01-03-57,34.91
01-04-57,34.92
01-05-57,34.93
01-06-57,34.99
01-07-57,34.99
01-08-57,34.97
01-09-57,34.96
01-10-57,34.97
01-11-57,34.97
01-12-57,34.99
01-01-58,35.01
01-02-58,35.08
01-03-58,35.09
01-04-58,35.1
01-05-58,35.11
01-06-58,35.1
01-07-58,35.11
01-08-58,35.1
01-09-58,35.1
01-10-58,35.11
01-11-58,35.1
01-12-58,35.09
01-01-59,35.07
01-02-59,35.06
01-03-59,35.06
01-04-59,35.08
01-05-59,35.12
01-06-59,35.12
01-07-59,35.13
01-08-59,35.12
01-09-59,35.13
01-10-59,35.1
01-11-59,35.06
01-12-59,35.05
01-01-60,35.09
01-02-60,35.09
01-03-60,35.09
01-04-60,35.11
01-05-60,35.1
01-06-60,35.09
01-07-60,35.1
01-08-60,35.13
01-09-60,35.22
01-10-60,35.78
01-11-60,35.82
01-12-60,35.54
01-01-61,35.56
01-02-61,35.17
01-03-61,35.08
01-04-61,35.08
01-05-61,35.06
01-06-61,35.07
01-07-61,35.11
01-08-61,35.16
01-09-61,35.19
01-10-61,35.19
01-11-61,35.19
01-12-61,35.15
01-01-62,35.16
01-02-62,35.13
01-03-62,35.09
01-04-62,35.08
01-05-62,35.08
01-06-62,35.1
01-07-62,35.12
